survey_id,survey_submitted_at,trip_start_date,trip_finish_date,length_of_stay,hotel_name,hotel_category_number,hotel_code,hotel_trip_other_name,hotel_trip_other_name_2,hotel_trip_other_name_3,hotel_any_other,hotel_ritz_carlton,hotel_super_eight,hotel_embassy_suites,hotel_days_inn,hotel_hampton_inn,hotel_quality_inn,hotel_marriott,hotel_holiday_inn,hotel_omni,hotel_hilton,hotel_millenium,hotel_radisson,hotel_hyatt,hotel_fairfield_inn,hotel_ramada_inn,hotel_drury_inn,hotel_four_seasons,hotel_best_western,hotel_past_other_name_1,hotel_past_other_name_2,hotel_past_other_name_3,hotel_past_other_name_4,hotel_past_other_name_5,hotel_past_other_name_6,hotel_past_other_name_7,hotel_past_other_name_8,hotel_selection_cost,hotel_selection_bar,hotel_selection_distance_to_parks,hotel_selection_in_room_dining,hotel_selection_food_court,hotel_selection_sit_down_dining,hotel_selection_fine_dining,hotel_selection_parks_shuttle,hotel_selection_airport_shuttle,hotel_selection_in_room_kitchen,hotel_selection_room_size,hotel_selection_multiple_bedroom_suites,hotel_selection_pool,hotel_selection_theme,hotel_selection_kids_activities,hotel_selection_location_on_property,hotel_selection_other_string,hotel_selection_other_string_2,hotel_selection_other_string_3,hotel_selection_other_rating,hotel_satisfied_room_cleanliness,hotel_satisfied_room_size,hotel_satisfied_room_quietness,hotel_satisfied_beds_pillows,hotel_satisfied_pool_size,hotel_satisfied_pool_crowds,hotel_satisfied_pool_cleanliness,hotel_satisfied_parks_shuttle,hotel_satisfied_airport_shuttle,hotel_satisfied_check_in_out_process,hotel_satisfied_staff,hotel_satisfied_recreation_amenities,hotel_satisfied_food_court_overall,hotel_satisfied_food_court_value,hotel_satisfied_find_your_way_around,hotel_satisfied_child_services,hotel_satisfied_sit_down_dining,hotel_satisfaction_code,hotel_satisfaction_code_num,hotel_stay_again,hotel_recommendation_code,hotel_recommendation_code_num,hotel_room_number,hotel_room_number_2,hotel_room_number_3,hotel_room_connecting,hotel_room_connecting_room_number,hotel_room_connecting_room_number_2,hotel_room_bed_code,user_id,party_members,town_city,state_province,international_country,distance_to_Disney,how_many_trips,ip_address,normalized_hotel_selection_cost,normalized_hotel_selection_bar,normalized_hotel_selection_distance_to_parks,normalized_hotel_selection_in_room_dining,normalized_hotel_selection_food_court,normalized_hotel_selection_sit_down_dining,normalized_hotel_selection_fine_dining,normalized_hotel_selection_parks_shuttle,normalized_hotel_selection_airport_shuttle,normalized_hotel_selection_in_room_kitchen,normalized_hotel_selection_room_size,normalized_hotel_selection_multiple_bedroom_suites,normalized_hotel_selection_pool,normalized_hotel_selection_theme,normalized_hotel_selection_kids_activities,normalized_hotel_selection_location_on_property,normalized_hotel_satisfied_room_cleanliness,normalized_hotel_satisfied_room_size,normalized_hotel_satisfied_room_quietness,normalized_hotel_satisfied_beds_pillows,normalized_hotel_satisfied_pool_size,normalized_hotel_satisfied_pool_crowds,normalized_hotel_satisfied_pool_cleanliness,normalized_hotel_satisfied_parks_shuttle,normalized_hotel_satisfied_airport_shuttle,normalized_hotel_satisfied_check_in_out_process,normalized_hotel_satisfied_staff,normalized_hotel_satisfied_recreation_amenities,normalized_hotel_satisfied_food_court_overall,normalized_hotel_satisfied_food_court_value,normalized_hotel_satisfied_find_your_way_around,normalized_hotel_satisfied_child_services,normalized_hotel_satisfied_sit_down_dining,normalized_hotel_satisfaction_code_num,party_size,num_males,num_females,one_and_under,two_to_four,five_to_eight,nine_to_tweleve,thirteen_to_seventeen,eighteen_to_twenty,twentyone_to_twentyfive,twentysix_to_thirtyfive,thirtysix_to_fifty,fiftyone_to_sixtyfive,over_sixtyfive,perc_num_males,perc_num_females,perc_under_18,perc_over_18,room_view,season,disney_season_1,disney_season_2,disney_season_3,disney_season_4,Cluster By hotel_category_number,Distance By hotel_category_number,,,,
33937, 2018-06-23T14:21:18Z, 6/12/2018, 6/21/2018,9, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239, Disneys Polynesian Village Resort,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,4,1,5,1,4,3,1,5,5,3,2,1,2,3,1,5,,,,,5,4,5,5,2,3,5,5,5,5,5,4,4,3,5,,, very_satisfied,5,1, will_definitely_recommend,5,8023,,,1,8021,, queen_daybed,78475, F18|F43, Stillwater, OK, USA,1257,5, 45.26.97.90,-0.008318265,-0.564769749,1.142329726,-0.378088489,1.188584832,0.567065547,-0.681434599,0.87171521,1.717454663,0.90355515,-1.190606061,-1.144778044,-1.349814952,-0.368429072,-0.670839038,1.218546791,0.506637411,-0.207330537,0.861154273,0.78168781,-2.213365954,-1.08825868,0.482083389,1.141778721,0.772049287,0.602173426,0.557529132,0.160112855,0.350315126,-0.431327884,0.819938615,,,0.386823581,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1, bay_lake, spring,,,,,4,5.528827574,,,,
27232, 2017-11-14T14:47:19Z, 11/5/2017, 11/11/2017,6, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,5,1,2,3,2,4,1,5,4,5,2,1,2,4,,,,,4,5,3,5,4,3,4,4,,4,5,4,4,4,5,,4, very_satisfied,5,1, will_definitely_recommend,5,7535,,,0,,, suite,586897, F34|F60|F61|F65|M6|M36|M61|M70, Montgomery, AL, USA,458,3,,-3.008318265,-0.564769749,1.142329726,-0.378088489,-0.811415168,0.567065547,0.318565401,-0.12828479,-2.282545337,2.90355515,0.809393939,2.855221956,-1.349814952,-2.368429072,0.329160962,0.218546791,-0.493362589,0.792669463,-1.138845727,0.78168781,-0.213365954,-1.08825868,-0.517916611,0.141778721,,-0.397826574,0.557529132,0.160112855,0.350315126,0.568672116,0.819938615,,0.110794208,0.386823581,8,4,4,0,0,1,0,0,0,0,1,1,4,1,0.5,0.5,0.125,0.875, bay_lake, fall,,,,,2,13.89535734,,,,
33996, 2018-06-25T19:04:43Z, 6/15/2018, 6/22/2018,7, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,1,5,1,1,2,2,5,5,5,5,5,5,2,2,5,,,,,5,5,5,5,5,5,5,4,4,4,5,5,5,3,3,5,4, very_satisfied,5,1, will_definitely_recommend,5,8136,,,1,,, suite,248542,, Dickson City, PA, USA,974,4, 73.230.148.9,-2.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,-0.432934453,0.318565401,0.87171521,1.717454663,2.90355515,1.809393939,2.855221956,1.650185048,-1.368429072,0.329160962,1.218546791,0.506637411,0.792669463,0.861154273,0.78168781,0.786634046,0.91174132,0.482083389,0.141778721,-0.227950713,-0.397826574,0.557529132,1.160112855,1.350315126,-0.431327884,-1.180061385,1.711729622,0.110794208,0.386823581,,,,,,,,,,,,,,,,,,, bay_lake, spring,,,,,2,11.00420436,,,,
30729, 2018-03-04T16:49:31Z, 2/24/2018, 2/28/2018,4, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,3,4,5,3,1,4,4,4,1,5,4,4,5,4,1,5,,,,,5,4,5,4,3,3,4,4,,5,5,4,4,3,4,,, very_satisfied,5,1, will_definitely_recommend,5,8010,,,,,, king_daybed,612635,, Brookings, SD, USA,1838,4, 66.17.113.199,-1.008318265,2.435230251,1.142329726,1.621911511,-1.811415168,1.567065547,2.318565401,-0.12828479,-2.282545337,2.90355515,0.809393939,1.855221956,1.650185048,0.631570928,-0.670839038,1.218546791,0.506637411,-0.207330537,0.861154273,-0.21831219,-1.213365954,-1.08825868,-0.517916611,0.141778721,,0.602173426,0.557529132,0.160112855,0.350315126,-0.431327884,-0.180061385,,,0.386823581,,,,,,,,,,,,,,,,,,, bay_lake, winter, Disney Princess Half Marathon Weekend,,,,3,19.51966601,,,,
39343, 2018-12-21T16:26:18Z, 12/17/2018, 12/17/2018,1, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239,,,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,5,1,5,1,1,5,5,5,5,5,5,5,1,5,1,5,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,,5, very_satisfied,5,1, will_definitely_recommend,5,7534,,,0,,, king,633251,, LA,, USA,,25, 173.217.95.254,0.991681735,-0.564769749,1.142329726,-0.378088489,-1.811415168,2.567065547,3.318565401,0.87171521,1.717454663,2.90355515,1.809393939,2.855221956,-2.349814952,1.631570928,-0.670839038,1.218546791,0.506637411,0.792669463,0.861154273,0.78168781,0.786634046,0.91174132,0.482083389,1.141778721,0.772049287,0.602173426,0.557529132,1.160112855,1.350315126,-0.431327884,0.819938615,,1.110794208,0.386823581,,,,,,,,,,,,,,,,,,, bay_lake, fall, Epcots International Festival of the Holidays, Mickeys Very Merry Christmas Party, 90 Years of Mickey Mouse,,4,19.64347643,,,,
29558, 2018-01-30T15:52:44Z, 1/21/2018, 1/27/2018,6, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,3,1,5,2,3,4,3,5,5,4,3,1,4,3,3,5,,,,,5,5,3,5,4,5,5,4,,5,5,,4,3,4,,, very_satisfied,5,1, will_definitely_recommend,5,7908,,,1,7910,, king,504271,,,,,,2, 206.219.124.171,-1.008318265,-0.564769749,1.142329726,0.621911511,0.188584832,1.567065547,1.318565401,0.87171521,1.717454663,1.90355515,-0.190606061,-1.144778044,0.650185048,-0.368429072,1.329160962,1.218546791,0.506637411,0.792669463,-1.138845727,0.78168781,-0.213365954,0.91174132,0.482083389,0.141778721,,0.602173426,0.557529132,,0.350315126,-0.431327884,-0.180061385,,,0.386823581,,,,,,,,,,,,,,,,,,, bay_lake, winter, Epcots Festival of the Arts,,,,1,11.51891329,,,,
33728, 2018-06-16T12:08:39Z, 5/21/2018, 5/26/2018,5, Bay Lake Tower at Disneys Contemporary Resort,4, ORL239,,,,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,,,,,,,,,3,1,5,1,1,1,1,3,5,5,5,5,5,4,4,5,,,,,5,5,5,5,2,2,4,2,3,5,5,5,3,2,3,4,4, somewhat_satisfied,4,1, may_recommend,4,,,,1,,,,52232,,, WI, USA,1311,12, 24.183.65.109,-1.008318265,-0.564769749,1.142329726,-0.378088489,-1.811415168,-1.432934453,-0.681434599,-1.12828479,1.717454663,2.90355515,1.809393939,2.855221956,1.650185048,0.631570928,2.329160962,1.218546791,0.506637411,0.792669463,0.861154273,0.78168781,-2.213365954,-2.08825868,-0.517916611,-1.858221279,-1.227950713,0.602173426,0.557529132,1.160112855,-0.649684874,-1.431327884,-1.180061385,0.711729622,0.110794208,-0.613176419,,,,,,,,,,,,,,,,,,,, spring, Epcots International Flower and Garden Festival,,,,1,10.87681019,,,,
32788, 2018-05-14T19:54:49Z, 5/10/2018, 5/13/2018,3, Boulder Ridge Villas at Disneys Wilderness Lodge,4, ORL018,,,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3,1,4,1,4,1,1,5,1,5,5,4,4,4,2,4,,,,,5,5,5,5,3,5,5,5,,5,5,4,5,5,5,,, very_satisfied,5,1, may_recommend,4,5528,,,1,5529,, king_double,90680, F12|F38|M5|M49, Mount Pleasant, SC, USA,445,5, 66.64.155.102,-1.008318265,-0.564769749,0.142329726,-0.378088489,1.188584832,-1.432934453,-0.681434599,0.87171521,-2.282545337,2.90355515,1.809393939,1.855221956,0.650185048,0.631570928,0.329160962,0.218546791,0.506637411,0.792669463,0.861154273,0.78168781,-1.213365954,0.91174132,0.482083389,1.141778721,,0.602173426,0.557529132,0.160112855,1.350315126,1.568672116,0.819938615,,,0.386823581,4,2,2,0,0,1,1,0,0,0,0,2,0,0,0.5,0.5,0.5,0.5, woods, spring, Epcots International Flower and Garden Festival,,,,2,10.68672217,,,,
37501, 2018-10-26T14:19:24Z, 10/16/2018, 10/23/2018,7, Boulder Ridge Villas at Disneys Wilderness Lodge,4, ORL018,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,4,1,4,1,1,3,2,5,2,4,5,5,5,5,2,4,,,,,4,5,5,5,5,4,5,5,4,5,5,3,4,4,5,,4, very_satisfied,5,1, will_definitely_recommend,5,3553,,,0,,, suite,595952, F16|F58|M7|M18|M42, Tulsa, OK, USA,1257,5, 156.110.167.24,-0.008318265,-0.564769749,0.142329726,-0.378088489,-1.811415168,0.567065547,0.318565401,0.87171521,-1.282545337,1.90355515,1.809393939,2.855221956,1.650185048,1.631570928,0.329160962,0.218546791,-0.493362589,0.792669463,0.861154273,0.78168781,0.786634046,-0.08825868,0.482083389,1.141778721,-0.227950713,0.602173426,0.557529132,-0.839887145,0.350315126,0.568672116,0.819938615,,0.110794208,0.386823581,5,3,2,0,0,1,0,1,1,0,0,1,1,0,0.6,0.4,0.4,0.6, woods, fall, Epcots International Food and Wine Festival, Mickeys Not So Scary Halloween Party,,,4,9.05166194,,,,
30181, 2018-02-13T19:53:53Z, 2/4/2018, 2/9/2018,5, Boulder Ridge Villas at Disneys Wilderness Lodge,4, ORL018,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,4,1,4,1,4,3,3,5,5,5,4,4,5,4,3,4,,,,,5,5,5,4,5,5,5,3,5,5,5,4,5,4,5,,4, very_satisfied,5,1, will_definitely_recommend,5,4519,,,0,,, suite,591688, F3|F33|F68|M1|M67, Columbus, OH, USA,964,5, 75.118.102.197,-0.008318265,-0.564769749,0.142329726,-0.378088489,1.188584832,0.567065547,1.318565401,0.87171521,1.717454663,2.90355515,0.809393939,1.855221956,1.650185048,0.631570928,1.329160962,0.218546791,0.506637411,0.792669463,0.861154273,-0.21831219,0.786634046,0.91174132,0.482083389,-0.858221279,0.772049287,0.602173426,0.557529132,0.160112855,1.350315126,0.568672116,0.819938615,,0.110794208,0.386823581,5,2,3,1,1,0,0,0,0,0,1,0,0,2,0.4,0.6,0.4,0.6, pool, winter, Epcots Festival of the Arts,,,,1,5.443040824,,,,
