"name	number	view_code"
"Disney's All-Star Sports Resort	1103	preferred"
"Disney's All-Star Sports Resort	1118	preferred"
"Disney's All-Star Sports Resort	1147	preferred"
"Disney's All-Star Sports Resort	1162	preferred"
"Disney's All-Star Sports Resort	1203	preferred"
"Disney's All-Star Sports Resort	1218	preferred"
"Disney's All-Star Sports Resort	1223	preferred"
"Disney's All-Star Sports Resort	1224	preferred"
"Disney's All-Star Sports Resort	1241	preferred"
"Disney's All-Star Sports Resort	1242	preferred"
"Disney's All-Star Sports Resort	1247	preferred"
"Disney's All-Star Sports Resort	1262	preferred"
"Disney's All-Star Sports Resort	1303	preferred"
"Disney's All-Star Sports Resort	1318	preferred"
"Disney's All-Star Sports Resort	1323	preferred"
"Disney's All-Star Sports Resort	1324	preferred"
"Disney's All-Star Sports Resort	1341	preferred"
"Disney's All-Star Sports Resort	1342	preferred"
"Disney's All-Star Sports Resort	1347	preferred"
"Disney's All-Star Sports Resort	1362	preferred"
"Disney's All-Star Sports Resort	6103	preferred"
"Disney's All-Star Sports Resort	6118	preferred"
"Disney's All-Star Sports Resort	6123	preferred"
"Disney's All-Star Sports Resort	6124	preferred"
"Disney's All-Star Sports Resort	6141	preferred"
"Disney's All-Star Sports Resort	6142	preferred"
"Disney's All-Star Sports Resort	6147	preferred"
"Disney's All-Star Sports Resort	6162	preferred"
"Disney's All-Star Sports Resort	6203	preferred"
"Disney's All-Star Sports Resort	6218	preferred"
"Disney's All-Star Sports Resort	6223	preferred"
"Disney's All-Star Sports Resort	6224	preferred"
"Disney's All-Star Sports Resort	6241	preferred"
"Disney's All-Star Sports Resort	6242	preferred"
"Disney's All-Star Sports Resort	6247	preferred"
"Disney's All-Star Sports Resort	6262	preferred"
"Disney's All-Star Sports Resort	6303	preferred"
"Disney's All-Star Sports Resort	6318	preferred"
"Disney's All-Star Sports Resort	6323	preferred"
"Disney's All-Star Sports Resort	6324	preferred"
"Disney's All-Star Sports Resort	6341	preferred"
"Disney's All-Star Sports Resort	6342	preferred"
"Disney's All-Star Sports Resort	6347	preferred"
"Disney's All-Star Sports Resort	6362	preferred"
"Disney's All-Star Sports Resort	1101	preferred"
"Disney's All-Star Sports Resort	1102	preferred"
"Disney's All-Star Sports Resort	1104	preferred"
"Disney's All-Star Sports Resort	1105	preferred"
"Disney's All-Star Sports Resort	1106	preferred"
"Disney's All-Star Sports Resort	1107	preferred"
"Disney's All-Star Sports Resort	1108	preferred"
"Disney's All-Star Sports Resort	1109	preferred"
"Disney's All-Star Sports Resort	1110	preferred"
"Disney's All-Star Sports Resort	1111	preferred"
"Disney's All-Star Sports Resort	1112	preferred"
"Disney's All-Star Sports Resort	1113	preferred"
"Disney's All-Star Sports Resort	1114	preferred"
"Disney's All-Star Sports Resort	1115	preferred"
"Disney's All-Star Sports Resort	1116	preferred"
"Disney's All-Star Sports Resort	1117	preferred"
"Disney's All-Star Sports Resort	1119	preferred"
"Disney's All-Star Sports Resort	1120	preferred"
"Disney's All-Star Sports Resort	1121	preferred"
"Disney's All-Star Sports Resort	1122	preferred"
"Disney's All-Star Sports Resort	1123	preferred"
"Disney's All-Star Sports Resort	1124	preferred"
"Disney's All-Star Sports Resort	1125	preferred"
"Disney's All-Star Sports Resort	1126	preferred"
"Disney's All-Star Sports Resort	1127	preferred"
"Disney's All-Star Sports Resort	1128	preferred"
"Disney's All-Star Sports Resort	1129	preferred"
"Disney's All-Star Sports Resort	1130	preferred"
"Disney's All-Star Sports Resort	1131	preferred"
"Disney's All-Star Sports Resort	1132	preferred"
"Disney's All-Star Sports Resort	1133	preferred"
"Disney's All-Star Sports Resort	1134	preferred"
"Disney's All-Star Sports Resort	1135	preferred"
"Disney's All-Star Sports Resort	1136	preferred"
"Disney's All-Star Sports Resort	1137	preferred"
"Disney's All-Star Sports Resort	1138	preferred"
"Disney's All-Star Sports Resort	1139	preferred"
"Disney's All-Star Sports Resort	1140	preferred"
"Disney's All-Star Sports Resort	1141	preferred"
"Disney's All-Star Sports Resort	1142	preferred"
"Disney's All-Star Sports Resort	1143	preferred"
"Disney's All-Star Sports Resort	1144	preferred"
"Disney's All-Star Sports Resort	1145	preferred"
"Disney's All-Star Sports Resort	1146	preferred"
"Disney's All-Star Sports Resort	1148	preferred"
"Disney's All-Star Sports Resort	1149	preferred"
"Disney's All-Star Sports Resort	1150	preferred"
"Disney's All-Star Sports Resort	1151	preferred"
"Disney's All-Star Sports Resort	1152	preferred"
"Disney's All-Star Sports Resort	1153	preferred"
"Disney's All-Star Sports Resort	1154	preferred"
"Disney's All-Star Sports Resort	1155	preferred"
"Disney's All-Star Sports Resort	1156	preferred"
"Disney's All-Star Sports Resort	1157	preferred"
"Disney's All-Star Sports Resort	1158	preferred"
"Disney's All-Star Sports Resort	1159	preferred"
"Disney's All-Star Sports Resort	1160	preferred"
"Disney's All-Star Sports Resort	1161	preferred"
"Disney's All-Star Sports Resort	1163	preferred"
"Disney's All-Star Sports Resort	1164	preferred"
"Disney's All-Star Sports Resort	1201	preferred"
"Disney's All-Star Sports Resort	1202	preferred"
"Disney's All-Star Sports Resort	1204	preferred"
"Disney's All-Star Sports Resort	1205	preferred"
"Disney's All-Star Sports Resort	1206	preferred"
"Disney's All-Star Sports Resort	1207	preferred"
"Disney's All-Star Sports Resort	1208	preferred"
"Disney's All-Star Sports Resort	1209	preferred"
"Disney's All-Star Sports Resort	1210	preferred"
"Disney's All-Star Sports Resort	1211	preferred"
"Disney's All-Star Sports Resort	1212	preferred"
"Disney's All-Star Sports Resort	1213	preferred"
"Disney's All-Star Sports Resort	1214	preferred"
"Disney's All-Star Sports Resort	1215	preferred"
"Disney's All-Star Sports Resort	1216	preferred"
"Disney's All-Star Sports Resort	1217	preferred"
"Disney's All-Star Sports Resort	1219	preferred"
"Disney's All-Star Sports Resort	1220	preferred"
"Disney's All-Star Sports Resort	1221	preferred"
"Disney's All-Star Sports Resort	1222	preferred"
"Disney's All-Star Sports Resort	1225	preferred"
"Disney's All-Star Sports Resort	1226	preferred"
"Disney's All-Star Sports Resort	1227	preferred"
"Disney's All-Star Sports Resort	1228	preferred"
"Disney's All-Star Sports Resort	1229	preferred"
"Disney's All-Star Sports Resort	1230	preferred"
"Disney's All-Star Sports Resort	1231	preferred"
"Disney's All-Star Sports Resort	1232	preferred"
"Disney's All-Star Sports Resort	1233	preferred"
"Disney's All-Star Sports Resort	1234	preferred"
"Disney's All-Star Sports Resort	1235	preferred"
"Disney's All-Star Sports Resort	1236	preferred"
