survey_id,survey_submitted_at,trip_start_date,trip_finish_date,hotel_name,hotel_code,hotel_trip_other_name,hotel_any_other,hotel_ritz_carlton,hotel_super_eight,hotel_embassy_suites,hotel_days_inn,hotel_hampton_inn,hotel_quality_inn,hotel_marriott,hotel_holiday_inn,hotel_omni,hotel_hilton,hotel_millenium,hotel_radisson,hotel_hyatt,hotel_fairfield_inn,hotel_ramada_inn,hotel_drury_inn,hotel_four_seasons,hotel_best_western,hotel_past_other_name,hotel_selection_cost,hotel_selection_bar,hotel_selection_distance_to_parks,hotel_selection_in_room_dining,hotel_selection_food_court,hotel_selection_sit_down_dining,hotel_selection_fine_dining,hotel_selection_parks_shuttle,hotel_selection_airport_shuttle,hotel_selection_in_room_kitchen,hotel_selection_room_size,hotel_selection_multiple_bedroom_suites,hotel_selection_spa_fitness_center,hotel_selection_pool,hotel_selection_theme,hotel_selection_kids_activities,hotel_selection_location_on_property,hotel_selection_other_string,hotel_selection_other_rating,hotel_satisfied_room_cleanliness,hotel_satisfied_room_size,hotel_satisfied_room_quietness,hotel_satisfied_beds_pillows,hotel_satisfied_pool_size,hotel_satisfied_pool_crowds,hotel_satisfied_pool_cleanliness,hotel_satisfied_parks_shuttle,hotel_satisfied_airport_shuttle,hotel_satisfied_check_in_out_process,hotel_satisfied_staff,hotel_satisfied_recreation_amenities,hotel_satisfied_food_court_overall,hotel_satisfied_food_court_value,hotel_satisfied_find_your_way_around,hotel_satisfied_child_services,hotel_satisfied_sit_down_dining,hotel_satisfied_other_string,hotel_satisfied_other_rating,hotel_satisfaction_code,hotel_stay_again,hotel_recommendation_code,hotel_room_number,hotel_room_connecting,hotel_room_connecting_room_number,hotel_room_bed_code,user_id,party_members,hometown,how_many_trips,ip_address
26025,2017-10-09T16:14:47Z,2017-10-02,2017-10-06,Disney's Art of Animation Resort,ORL242,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disney French Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9517,1,9516,two_double,429041,M67,Birmingham,15,
26026,2017-10-09T16:31:51Z,2017-10-02,2017-10-06,Disney's Art of Animation Resort,ORL242,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disney French Quarter 6/17 and Animal Kingdom Lodge 7/17,3,5,3,1,5,3,1,5,1,2,4,4,,4,5,1,3,Quiet/ Non rushed,5,5,3,4,4,4,3,4,4,,4,5,,4,4,4,,,,,very_satisfied,0,netural,9517,1,9516,two_double,429041,"",Birmingham,15,
26027,2017-10-09T17:01:10Z,2017-09-02,2017-09-09,Disney's BoardWalk Villas,ORL006,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baymont Inn,4,1,4,1,3,3,2,5,5,3,4,3,,1,5,1,4,,,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,2,5,,,very_satisfied,1,will_definitely_recommend,4121,0,,suite,567395,"","Milwaukee, WI",4,
26030,2017-10-09T19:00:09Z,2017-09-30,2017-10-05,Disney's Pop Century Resort,ORL013,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Country Inn,4,4,3,2,1,3,3,3,1,1,3,3,,5,3,3,4,,,5,3,3,2,5,4,5,4,,4,5,,4,4,3,,,,,very_satisfied,0,netural,2214,0,,two_double,556146,F4|M39,Atlanta,8,
26031,2017-10-09T19:29:43Z,2017-10-06,2017-10-06,Disney's All-Star Music Resort,ORL236,,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,5,1,4,1,2,1,1,5,4,1,1,1,,1,3,1,2,,,4,4,4,4,4,3,4,4,5,4,5,4,3,3,4,,,,,somewhat_satisfied,1,will_definitely_recommend,0601,0,,two_double,128324,"",Tenby,4,
26033,2017-10-09T19:58:54Z,2017-09-29,2017-10-05,Disney's Port Orleans Resort - French Quarter,ORL014,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,,,,1,,,5,4,,,,,,,,3,,,4,4,4,4,,,,4,4,4,,,3,2,4,,,,,very_satisfied,1,will_definitely_recommend,4317,0,,two_queen,16946,F14|F17,,15,
26035,2017-10-09T21:12:45Z,2017-10-01,2017-10-05,Disney's BoardWalk Villas,ORL006,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,5,,1,3,,4,,,,,,,2,,,,,5,5,2,2,,,,3,,5,5,5,,,5,,5,,,very_satisfied,1,will_definitely_recommend,5086,1,5088,queen_daybed,152187,"","Mobile, Alabama",7,
26036,2017-10-09T21:17:04Z,2017-09-15,2017-09-24,Disney's Art of Animation Resort,ORL242,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheraton,5,2,5,1,2,4,4,5,4,2,3,2,,3,3,1,5,,,4,3,2,2,3,4,4,2,4,4,5,,4,3,4,,,,,somewhat_satisfied,0,probably_wont_recommend,7752,1,7753,two_double,356110,"",,6,
26038,2017-10-09T21:29:49Z,2017-10-04,2017-10-05,Disney's Animal Kingdom Lodge - Kidani Village,ORL238,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,RedRoof Inn,3,,1,,,4,,2,,,,,,,5,,,,,5,5,4,5,,,,4,,5,5,,,,4,,5,,,very_satisfied,1,will_definitely_recommend,7776,1,?,queen_daybed,6899,F61|M76,"Hernando, FL",15,
26040,2017-10-09T23:30:04Z,2016-11-07,2016-11-07,Disney's Polynesian Village Resort,ORL012,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,3,,4,,,2,,5,1,,,,,,,,,,,5,5,4,3,4,4,4,5,5,3,3,,2,2,2,,4,,,very_satisfied,1,will_definitely_recommend,,,,two_queens_daybed,527555,F11|F36|F37|F61,"Breckenridge, CO",2,
